,WT,PknB_KD,PknB_IND,PknD_KO,PknD_IND,PknE_KO,PknE_IND,PknF_KO,PknF_IND,PknG_KO,PknG_IND,PknH_KO,PknH_IND,PknJ_KO,PknJ_IND,PknK_KO,PknK_IND,PknL_KO,PknL_IND
Rv0346c,0.0,0.000683279580954816,0.0007048809319153092,0.0,0.0,0.0007061674028134244,0.0007048809319203497,0.0,0.0,0.0007048809319181275,0.0,0.0,0.002471705332696704,0.0007048809319184059,0.0,0.0007061674028134041,0.000746144789256825,0.0007048809319416851,0.00247331966769321
Rv2127,0.0,0.0006832795809578926,0.000704880932005533,0.0,0.0,0.0007061674028143916,0.0007048809319227665,0.0,0.0,0.0007048809318737187,0.0,0.0,0.002471705332696523,0.0007048809319175485,0.0,0.0007061674027223328,0.0007461447892566935,0.0007048809319192502,0.002473319667681864
Rv3601c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3709c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv3565,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,0.0
Rv0337c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv2121c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rv1310,,,,,,,,,,,,,,,,,,,
Rv1305,,,,,,,,,,,,,,,,,,,
Rv1308,,,,,,,,,,,,,,,,,,,
Rv1309,,,,,,,,,,,,,,,,,,,
Rv1306,,,,,,,,,,,,,,,,,,,
Rv1307,,,,,,,,,,,,,,,,,,,
Rv1304,,,,,,,,,,,,,,,,,,,
Rv1311,,,,,,,,,,,,,,,,,,,
Rv3279c,0.0,0.0006832795809674108,0.0007048809319416829,0.0,0.0,0.0007061674028149526,0.0007048809319183185,0.0,0.0,0.000704880931941687,0.0,0.0,0.0024717053326945996,0.0007048809319192449,0.0,0.0007061674028059592,0.0007461447892546996,0.0007048809319170498,0.002473319667690647
Rv0522,0.0,0.0006832795809606097,0.0007048809319080268,0.0,0.0,0.0007061674028015384,0.0007048809319240565,0.0,0.0,0.0007048809319136383,0.0,0.0,0.0024717053326945926,0.0007048809319089118,0.0,0.0007061674028107765,0.0007461447889395725,0.0007048809319416872,0.002473319667691695
Rv0223c,0.0,0.000683279581166347,0.0007048809319413953,0.0,0.0,0.0007061674028127846,0.0007048809319176488,0.0,0.0,0.0007048809319154453,0.0,0.0,0.0024717053326861523,0.0007048809319192467,0.0,0.0007061674028133855,0.0007461447892583071,0.000704880931916843,0.002473319667693117
Rv1589,0.0,0.0006832795809627453,0.0007048809318956506,0.0,0.0,0.000706167402816833,0.0007048809319182892,0.0,0.0,0.0007048809319401785,0.0,0.0,0.002471705332697089,0.0007048809319183197,0.0,0.0007061674028137645,0.0007461447892569068,0.0007048809319182852,0.002473319667694521
Rv0107c,0.0,0.0023914785333685475,0.0007048809318988647,0.0,0.0,0.0007061674029008246,0.0007048809319259074,0.0,0.0,0.0007048809319170045,0.0,0.0,0.0024717053326965216,0.0007048809319416849,0.0,0.0007061674028154423,0.0007461447892551243,0.000704880931913642,0.002473319667701541
Rv1908c,0.0,0.0006832123583585788,0.0007048093917764659,0.0,0.0,0.0007060956012884356,0.0007048093917527217,0.0,0.0,0.0007048093917543177,0.0,0.0,0.0024714540030690824,0.0007048093917502106,0.0,0.00070609560128903,0.0007460646284564719,0.0007048093917442859,0.0024730680098643135
Rv1607,0.0,,0.0007048809319192753,0.0,0.0,0.0007061674028087748,0.0007048809318313718,0.0,0.0,0.0007048809319000332,0.0,0.0,0.002471705332696018,0.0007048809318914028,0.0,0.0007061674028071639,0.0007461447893005109,0.0007048809321199825,0.002473319667701547
