	WT1	WT2	WT3	PknF_KO1	PknF_KO2	PknF_KO3	PknF_IND1	PknF_IND2	PknF_IND3	PknG_KO1	PknG_KO2	PknG_KO3	PknG_IND1	PknG_IND2	PknG_IND3	PknI_KO1	PknI_KO2	PknI_KO3	PknI_IND1	PknI_IND2	PknI_IND3	PknJ_KO1	PknJ_KO2	PknJ_KO3	PknL_KO1	PknL_KO2	PknL_KO3	WT4	WT5	WT6	PknD_IND1	PknD_IND2	PknD_IND3	PknD_KO1	PknD_KO2	PknD_KO3	PknH_KO1	PknH_KO2	PknH_KO3	PknH_IND1	PknH_IND2	PknH_IND3	PknK_IND1	PknK_IND2	PknK_IND3	PknK_KO1	PknK_KO2	PknK_KO3	WT7	WT8	WT9	PknB_KD1	PknB_KD2	PknB_KD3	PknB_IND1	PknB_IND2	PknB_IND3	PknE_KO1	PknE_KO2	PknE_KO3	PknE_IND1	PknE_IND2	PknE_IND3	PknJ_IND1	PknJ_IND2	PknJ_IND3	WT10	WT11	PknL_IND1	PknL_IND2	PknL_IND3
Rv1917c	13.206512	13.388734	13.546186	10.617404	13.7409115	6.8503194	12.280596	11.053067	12.327501	6.4188066	8.8870945	10.449685	12.834054	15.316103	26.635092	8.3740015	8.0812645	13.391803	12.669418	9.320431	12.495665	14.393059	11.059192	12.694101	9.3406515	9.046524	7.3736215	17.372679	12.563476	13.155666	6.6126575	6.41894	9.091167	9.788351	9.924118	9.588478	11.081227	11.081227	10.856648	17.366423	20.794952	19.357761	18.729595	18.96866	17.676605	9.967827	8.725091	11.091817	17.82641	10.134055	17.906048	11.036758	12.788816	13.502506	18.33566	12.965086	14.213599	10.703176	9.52658	12.558975	13.362271	13.352303	10.497011	11.649929	16.616325	13.386476	7.8536997	9.3792925	11.745524	10.841603	8.869861
Rv1918c	31.751013	25.592257	34.209934	28.306574	30.495884	20.469036	33.83983	27.284445	34.753765	23.99931	17.109995	28.68767	39.041317	30.979038	37.380802	19.456276	17.868477	33.955524	19.953306	36.412773	38.289967	28.691822	21.879765	33.914665	18.421326	20.140347	21.252165	30.045792	26.034193	34.957405	14.158846	14.196639	19.857285	25.996572	24.893017	26.349436	20.299006	23.511717	15.562279	24.956768	25.510372	33.409218	34.48224	32.71548	35.240147	20.014784	19.84215	15.216309	35.591667	25.320795	35.261368	138.04716	138.78181	133.45786	13.698168	27.13632	24.298532	15.076115	18.02295	14.108449	41.134785	54.748	57.414104	35.63157	32.498344	34.5554	45.37763	45.91673	77.437164	83.259605	72.97793
Rv1919c	44.709896	46.751198	31.78148	16.199024	25.06155	37.059937	85.19068	65.37466	103.511765	37.903194	49.747402	54.17577	16.033638	3.5178354	27.296505	33.145687	26.771536	30.283428	59.571938	14.350379	50.088135	26.812353	40.924805	23.309877	30.550726	34.05256	37.004745	33.33701	27.805025	34.3823	27.25909	30.859762	86.679825	36.33985	20.747435	22.758293	44.939045	27.586493	46.350655	41.51216	17.768812	25.534225	30.317057	21.837704	27.780962	56.36717	79.82745	58.233135	26.888489	26.759085	42.63122	70.46641	68.94779	79.25598	35.625652	32.409424	31.84065	21.437897	33.677856	49.675953	210.22937	201.44177	221.05003	139.511	115.314	137.94301	173.32578	181.86548	300.6533	290.3522	274.64517
Rv1920	55.39697	54.403625	49.214523	39.278694	59.970173	43.055176	33.193863	38.514877	34.16138	38.519165	40.618435	36.604626	43.003216	21.042156	36.28707	40.80051	41.3551	44.657158	13.081722	39.078865	53.40956	51.06219	53.67239	52.429523	44.41132	36.81653	38.270557	56.51613	70.61461	45.790207	40.96049	60.346222	55.402298	34.409782	39.21994	37.520695	48.538883	40.015656	54.341694	28.533863	45.620018	42.768166	46.39197	45.4837	38.77354	44.841175	45.912476	43.996365	50.04353	82.3855	64.3395	60.070267	68.053986	68.81697	32.95813	39.58603	57.851685	38.044376	33.972946	48.08335	131.30292	116.01155	96.76537	88.2923	78.82177	77.343704	118.802505	115.25537	81.59682	69.914764	81.16548
Rv1921c	9.626149	9.738434	9.82183	11.583791	4.302035	14.616404	10.096477	11.228162	13.609204	13.0179615	11.636007	16.157309	12.409098	11.264821	12.760444	9.839758	10.009439	9.345076	10.178888	27.209158	2.3159103	13.191584	10.720387	10.777398	10.126099	7.051431	10.286245	9.307093	16.232655	21.662659	9.700105	17.752323	13.520378	33.578423	7.341786	8.827035	8.7942915	7.6304626	9.759083	9.158099	8.461745	13.454398	12.76756	16.021877	13.313813	12.134017	20.58679	12.265392	4.5829425	14.999203	13.528062	34.649155	35.958088	34.44285	8.31515	6.1006765	11.925756	13.192269	11.429974	21.533758	33.277634	31.551641	20.01569	20.716705	25.106632	20.624062	39.382294	52.115604	24.996172	28.247356	24.899065
Rv1922	84.7779	76.84834	69.237236	81.86314	61.33805	51.768772	27.682016	31.435438	28.30958	38.72322	38.937393	46.98677	62.701332	50.05715	70.76244	37.088234	48.031036	40.617214	41.94165	75.01043	41.059086	70.162575	58.22656	68.8307	48.269516	49.311302	48.366917	89.877235	78.11656	96.98276	24.62624	23.262032	26.368631	81.73457	70.23712	65.30901	57.019157	41.075848	43.260124	32.45412	28.736818	53.34816	50.07784	55.132805	47.675232	60.37014	41.371468	59.347046	80.02991	64.48648	75.934586	60.28588	59.124363	61.49053	64.86721	49.78637	75.21073	48.47475	59.88926	50.485554	50.91134	55.297077	32.652763	76.46076	96.044044	93.95502	85.50317	96.316315	37.844456	36.490406	42.884842
Rv1923	66.96358	81.709045	70.26815	54.481113	65.91333	71.7544	100.12968	110.965515	116.29524	70.06435	76.495476	143.75256	77.994255	76.181175	63.920673	66.12248	56.820095	72.06209	62.699337	63.165333	84.21957	45.013298	54.07975	55.320152	68.4106	54.660717	65.603645	71.756485	75.21365	63.08959	54.142246	56.00652	84.32999	150.5942	53.67921	51.641598	65.68532	59.01234	60.418633	59.693634	71.85509	81.56596	49.95209	70.52619	51.43265	90.6995	74.84596	73.49979	59.539234	73.69468	74.96085	104.27884	104.72191	107.93812	95.12445	62.726776	89.59189	71.97661	91.207726	86.32392	126.37215	130.52385	124.09545	186.85147	202.69168	201.44656	57.584072	62.332455	117.87617	118.45665	112.1961
Rv1924c	66.40833	68.9615	47.911488	49.543514	69.463036	71.119194	191.21376	204.60634	224.23233	62.102863	79.384476	79.29156	59.414158	74.12942	72.612	74.88362	82.47677	35.999958	23.082342	1.745544	35.025505	62.08408	66.85485	60.015034	74.9153	96.90284	80.8991	55.884243	111.971794	63.91839	76.1299	89.04066	90.42966	81.56937	37.965927	43.66627	75.10824	79.13698	44.63224	126.51548	132.82233	111.65706	69.98908	92.41375	73.55649	73.216835	102.05939	73.80476	86.74249	47.179688	64.48648	122.45289	123.18884	143.70279	64.29138	94.3964	69.58168	83.75732	44.76771	88.43252	195.3905	177.96754	199.46416	195.02298	218.98093	190.73715	70.72372	87.53449	187.12436	172.1982	144.62933
Rv1925	929.4013	1041.7826	814.6011	876.6395	848.41266	882.9239	1551.7277	1698.2458	1503.6395	890.0576	831.3716	956.7181	1149.5847	1069.1544	948.61365	902.23	791.0443	902.23	937.5665	1171.4507	1190.5785	786.35913	857.4801	699.316	825.0082	875.40204	749.6997	1011.38257	1041.7826	877.8624	1090.9988	941.1816	894.2245	957.2929	604.28467	635.7055	1009.7711	1054.1084	928.2527	639.6891	624.4802	687.6522	601.46606	703.32654	693.82654	840.45215	737.9945	879.2439	910.24396	977.6291	861.1612	524.5267	564.9258	546.4979	819.64136	901.15076	963.39734	585.22876	662.52747	680.7242	956.28516	1126.0085	1009.6198	2109.8054	1838.4877	1897.2634	669.7756	643.43494	834.7051	799.2155	758.6702
Rv1926c	247.71773	279.30426	232.70116	258.18457	251.26445	307.61652	722.98193	832.1387	734.3578	353.0497	321.66098	435.89993	378.71524	406.2469	344.00195	356.25436	302.82013	328.22308	452.0606	327.86588	464.39166	211.2406	252.92776	209.3696	281.3464	350.56964	323.98886	299.66162	282.88882	221.18141	478.9455	471.61975	521.4458	488.82938	189.19455	235.83861	289.80243	289.65158	277.11975	350.3628	343.34756	326.141	235.64912	276.57568	265.24405	354.621	406.83655	468.1869	220.6126	294.4775	218.03085	303.9778	323.92474	301.9528	358.97913	302.6309	304.76758	218.49434	365.30676	400.16913	625.93317	620.1752	576.4555	716.337	744.5354	774.78656	600.72656	476.4505	590.07874	544.00446	606.4363
